p_bit;pe
0.0;0.0
0.1;0.005103100000000002
0.2;0.02868480000000001
0.3;0.06504569999999998
0.4;0.0984064
0.5;0.1171875
0.6;0.12476160000000001
0.7;0.1471813
0.8;0.23838720000000005
0.9;0.4833999000000001
1.0;1.0
